Día,Impr.,Usuarios únicos,Clics,Coste,Resultados
2024-06-14,5947,--,438,287451,15
2026-03-30,5945,--,280,306781,2
2023-12-13,5934,--,449,278905,22
2023-12-12,5931,--,470,246866,26
2024-02-14,5931,--,417,308620,23
2024-10-29,5922,--,323,201187,11
2025-11-27,5918,--,667,784427,9
2023-06-22,5912,--,603,262039,15
2025-10-18,5908,--,345,269528,3
2023-12-31,5897,--,231,145467,9
2023-12-02,5894,--,464,236329,12
2023-12-05,5891,--,510,254085,11
2025-11-16,5882,--,507,348957,2
2025-11-25,5875,--,621,394262,7
2023-11-08,5864,--,639,366585,26
2026-03-15,5861,--,372,320523,1
2024-07-14,5860,--,311,228593,15
2026-03-04,5855,--,316,281741,2
2025-08-08,5839,--,417,257064,3
2025-11-22,5824,--,520,330794,0
2023-12-08,5808,--,401,251541,24
2023-08-27,5797,--,466,304384,27
2026-03-19,5793,--,270,232073,0
2023-08-31,5788,--,500,247743,9
2023-11-13,5785,--,491,340733,7
2023-06-23,5756,--,531,191834,17
2023-08-14,5734,--,602,222068,29
2024-07-31,5718,--,400,216309,12
2024-10-30,5717,--,379,201231,8
2026-04-02,5715,--,335,246694,1
2023-07-04,5711,--,624,250575,27
2026-03-21,5697,--,292,277327,0
2025-08-09,5688,--,387,261434,2
2025-07-31,5687,--,405,233631,1
2024-09-28,5665,--,290,192466,5
2025-11-13,5657,--,419,240557,1
2024-09-05,5650,--,280,298058,10
2023-10-03,5643,--,465,230005,18
2023-06-11,5636,--,414,221142,16
2024-05-24,5634,--,409,363826,24
2024-10-22,5632,--,398,211113,23
2023-06-07,5618,--,510,252396,24
2024-06-21,5590,--,470,275005,17
2024-06-28,5582,--,449,245935,9
2023-09-16,5568,--,404,208598,7
2023-10-25,5567,--,621,302107,34
2025-11-06,5567,--,473,273462,2
2025-08-07,5563,--,403,232213,1
2025-11-30,5559,--,675,631650,4
2024-07-27,5545,--,387,226911,3
2024-09-24,5541,--,333,239595,6
2024-05-23,5539,--,352,340561,21
2024-06-16,5509,--,393,260115,17
2023-10-18,5496,--,546,299850,24
2023-12-04,5494,--,491,268844,19
2023-11-12,5493,--,476,321775,23
2024-07-02,5469,--,385,235734,18
2024-09-10,5440,--,388,248346,17
2023-08-30,5438,--,566,269455,21
2024-07-23,5427,--,379,279355,16
2026-05-14,5417,--,332,98997,0
2024-07-29,5409,--,407,282682,26
2023-10-11,5389,--,497,252096,21
2025-07-29,5388,--,444,281181,3
2025-12-29,5370,--,492,347568,6
2023-07-18,5369,--,581,241766,22
2024-06-09,5355,--,416,301907,14
2026-01-02,5354,--,341,324974,0
2023-11-28,5325,--,627,288568,11
2025-11-05,5324,--,411,304336,4
2025-12-24,5308,--,459,207208,0
2026-02-19,5289,--,267,290478,0
2024-08-28,5286,--,424,230645,28
2023-10-17,5261,--,527,278013,11
2023-10-02,5254,--,364,206893,19
2023-07-08,5246,--,466,228709,17
2024-07-05,5233,--,379,244073,11
2025-12-16,5232,--,617,395898,1
2026-03-01,5231,--,363,326635,1
2025-08-06,5219,--,379,214009,4
2024-05-19,5214,--,415,345271,20
2023-08-28,5210,--,565,284135,38
2024-09-18,5202,--,317,265909,11
2026-04-08,5198,--,404,230310,0
2023-09-14,5197,--,476,234416,6
2024-09-06,5192,--,419,278652,6
2025-11-11,5183,--,429,285529,3
2026-05-04,5183,--,300,90727,0
2023-09-21,5160,--,433,267718,11
2025-08-15,5156,--,380,236773,3
2023-09-22,5144,--,392,197518,4
2023-10-26,5140,--,532,278535,15
2026-05-27,5132,--,117,85900,0
2023-07-03,5125,--,442,148387,12
2024-08-09,5097,--,301,198438,16
2024-06-30,5084,--,383,262799,7
2024-09-19,5083,--,296,260897,8
2023-08-29,5080,--,544,237002,8
2026-02-10,5080,--,265,298253,0
2023-11-09,5077,--,615,326645,11
2026-02-16,5072,--,269,340567,0
2024-07-16,5068,--,359,259992,10
2025-12-28,5068,--,558,396614,2
2026-02-25,5059,--,204,208693,0
2023-09-28,5015,--,418,209034,4
2025-11-12,5011,--,427,259427,2
2024-05-26,5006,--,413,357196,17
2024-07-25,5004,--,367,296658,8
2026-04-04,4991,--,434,307755,1
2024-06-08,4984,--,462,331270,16
2024-07-13,4984,--,391,245441,5
2025-08-05,4981,--,386,233222,2
2024-09-02,4977,--,361,247795,13
2025-08-10,4977,--,401,238991,5
